Sr. No.,work_id,Work category,work_category_code,State,IDA,MP,Elected/Nominated,Work description,Recommended date,Sanction Date,sanction_lag_days,sanction_amount,Work Status,work_status_code
1112,WS/MP423/2024-2025/137568-Providing drains and gutters for public drainage,Normal/Others,1,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Construction of drain with cover slap from H/O Hanif Sk to H/O Akbar Sk at Ramrampur within Ward No.1 (60 mtr),2024-08-28,2024-12-24,118,154554.0,Physical Inspection,0
1113,"WS/MP423/2024-2025/137569-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Construction of CC Road from near H/O Kabita Mondal to H/O Panchanan via H/O Pritam Halder to H/O Tapan Halder within Ward No.3 (49.80 mtr),2024-08-28,2024-12-24,118,144874.0,Physical Inspection,0
1114,"WS/MP423/2024-2025/137570-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Construction of CC Road at Vidyasagar Pally Natun Para from H/O Tarun Sheet to H/O Runa Dhela at Ward No.4 (40 mtr.),2024-08-28,2024-12-24,118,150072.0,Physical Inspection,0
1115,"WS/MP423/2024-2025/137571-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Construction of Brick Soling Road from H/O Sourav Mukherjee to H/O Shambhu Patra at Ward No.5 (50 mtr.),2024-08-28,2024-12-24,118,148128.0,Physical Inspection,0
1116,"WS/MP423/2024-2025/137572-Construction of roads, link roads, pathways or any other road with or without drainage system",Repair and Renovation,2,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Repairing of CC Road from Near H/O Dulal Das to H/O Chandan Das at Ward No.7 (72 mtr.),2024-08-28,2024-12-24,118,146182.0,Physical Inspection,0
1117,"WS/MP423/2024-2025/137573-Construction of roads, link roads, pathways or any other road with or without drainage system",Repair and Renovation,2,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Repairing of CC Road at Das Para from H/O Batul Mistry to H/O Tapan Rana at Ward No.8 (95 mtr.),2024-08-28,2024-12-24,118,147843.0,Physical Inspection,0
1118,"WS/MP423/2024-2025/137574-Construction of roads, link roads, pathways or any other road with or without drainage system",Repair and Renovation,2,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Repair of CC Road from Bangal Para to By-Pass Road at Ward No.10 (80 mtr.),2024-08-28,2024-12-24,118,102092.0,Physical Inspection,0
1119,"WS/MP423/2024-2025/137575-Construction of roads, link roads, pathways or any other road with or without drainage system",Repair and Renovation,2,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Repairing of CC Road from H/O Motiyar Rahaman Molla to H/O Bapi Manna at Railway Colony at Ward No.12 (88 mtr.),2024-08-28,2024-12-24,118,148437.0,Physical Inspection,0
1120,"WS/MP423/2024-2025/137576-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Construction of CC road cum pathway within Trikon Park. (71.25 mtr.),2024-08-28,2024-12-24,118,145816.0,Physical Inspection,0
1121,"WS/MP423/2024-2025/137577-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Construction of CC Road from near Raja Mukherjee's house to H/O Manas Das at Ward No.14 (97 mtr),2024-08-28,2024-12-24,118,151635.0,Physical Inspection,0
1122,"WS/MP423/2024-2025/137578-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Construction of CC Road at Halder Para from H/O Panchanan Halder to H/O Bagamber Khanra (82 mtr.) at Ward No.15,2024-08-28,2024-12-24,118,152500.0,Physical Inspection,0
1123,"WS/MP423/2024-2025/137579-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee (2024-2029),Elected MP,Construction of CC road with surface drain from near H/O Ranjan Chatterjee to Netaji Road at Ward No.16 (25.20 mtr.),2024-08-28,2024-12-24,118,146069.0,Physical Inspection,0
1124,WS/MP18006/2024-2025/137584-Providing supply pipelines for drinking water,Normal/Others,1,Andhra Pradesh,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),DAGGUMALLA PRASADA RAO (2024-2029),Elected MP,"Providing Motor & Pump for drinking suplay to the residential area of Indiramma Indlu, Daminedu Village, Tiruchanuru (P), Tirupati Rural Mandal, Chandragiri Constituency.",2024-08-28,2024-10-23,56,49407.0,Physical Inspection,0
1125,"WS/MP18019/2024-2025/137586-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,Construction of road from PWD road to Graveyard at Rongbangpothar,2024-08-29,2025-01-04,128,2000000.0,Physical Inspection,0
1126,WS/MP18019/2024-2025/137587-Construction of community centers and community halls,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,Construction of Open Stage at Gangjang,2024-08-29,2024-11-13,76,1500000.0,Physical Inspection,0
1127,WS/MP18019/2024-2025/137588-Construction of community centers and community halls,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,Construction of Community Hall at Jawlian under Singhason MAC Constituency,2024-08-29,2024-11-13,76,1500000.0,Physical Inspection,0
1128,WS/MP18019/2024-2025/137589-Tree plantation for community,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Tree Plantation for providing self sufficiency to the 06 (six) Nos. of Ex-Revolutionary Cadre under the Banner of ""KERUP- Karbi Ex-Revolutionary United Forum""",2024-08-29,2024-10-25,57,1000000.0,Work Completed,4
1129,WS/MP18019/2024-2025/137591-Construction of bus-sheds or bus-stops,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,Construction of waiting shed at Minbung under Singhason MAC Constituency,2024-08-29,2024-11-13,76,1000000.0,Physical Inspection,0
1130,WS/MP18019/2024-2025/137592-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of 3 Nos. Ringwell at Sar-et Senar village, @3.00 L x 3 Nos.",2024-08-29,2024-10-25,57,900000.0,Physical Inspection,0
1131,WS/MP18019/2024-2025/137593-Construction of community centers and community halls,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,Construction of open stage infront of Siloni LP School,2024-08-29,2024-10-25,57,800000.0,Work partially Completed,5
1132,WS/MP18019/2024-2025/137594-Creation of new ponds,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of community fishery at Rongkimi, Diphu",2024-08-29,2024-10-25,57,500000.0,Physical Inspection,0
1133,WS/MP18019/2024-2025/137595-Creation of new ponds,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,Construction of community fishery at Longnit,2024-08-29,2024-10-25,57,500000.0,Physical Inspection,0
1134,WS/MP18019/2024-2025/137596-Construction of community centers and community halls,Repair and Renovation,2,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Improvement of open stage at Govt. Boys Higher Secondary playground, Diphu",2024-08-29,2024-12-21,114,499190.0,Physical Inspection,0
1135,WS/MP18019/2024-2025/137597-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of ringwell near the house of Sri Elison Terang, Mohendijua",2024-08-29,2024-10-25,57,400000.0,Work partially Completed,5
1136,WS/MP18019/2024-2025/137598-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of ringwell near the house of Lt. Thangsing Tisso, Mohendijua",2024-08-29,2024-10-25,57,400000.0,Physical Inspection,0
1137,WS/MP18019/2024-2025/137599-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of ringwell near the house of Sri Dosarath Tisso, Rongnihang",2024-08-29,2024-10-25,57,400000.0,Physical Inspection,0
1138,WS/MP18019/2024-2025/137600-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of ringwell near the house of Sri Rajen Kro, PWD Colony, Diphu",2024-08-29,2024-10-25,57,400000.0,Physical Inspection,0
1139,WS/MP18019/2024-2025/137601-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of ringwell near the house of Smt. Meera Tissopi, Mohendijua",2024-08-29,2024-10-25,57,300000.0,Physical Inspection,0
1140,WS/MP18019/2024-2025/137602-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of ringwell near the house of Smt. Moina Terangpi, Rongtheang",2024-08-29,2024-10-25,57,300000.0,Physical Inspection,0
1141,WS/MP18019/2024-2025/137603-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of ringwell near the house of Smt. Minu Teronpi, Biren Kramsa village",2024-08-29,2024-10-25,57,300000.0,Physical Inspection,0
1142,WS/MP18019/2024-2025/137604-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of ringwell near the house of Smt Rengka Teronpi, Manja College",2024-08-29,2024-10-25,57,300000.0,Physical Inspection,0
1143,WS/MP18019/2024-2025/137605-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of ringwell near the house of Smt Sika Tokbipi, Cheksolangso",2024-08-29,2024-10-25,57,300000.0,Physical Inspection,0
1144,WS/MP18019/2024-2025/137606-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of ringwell near the house of Smt Klarie Phangchopi, Rongnagar",2024-08-29,2024-10-25,57,300000.0,Physical Inspection,0
1145,WS/MP18019/2024-2025/137607-Installing tube-wells and borewells,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of ringwell near West Tarabasa English LP School, Phuloni",2024-08-29,2024-10-25,57,300000.0,Physical Inspection,0
1146,"WS/MP18019/2024-2025/137608-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of CC Block Road near DC Bungalow, Diphu",2024-08-29,2025-01-04,128,500000.0,Physical Inspection,0
1147,WS/MP013/2024-2025/137609-Construction of additional rooms and halls in the existing public and community building,Repair and Renovation,2,Sikkim,Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA),Indra Hang Subba (2024-2029),Elected MP,Upgradation and repiar & restoration of Nawadaya SHG's envelope manufacturing plant,2024-08-29,2024-10-03,35,1000000.0,Work Completed,4
1148,WS/MP013/2024-2025/137610-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Normal/Others,1,Sikkim,Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA),Indra Hang Subba (2024-2029),Elected MP,"Construction of RCC footpath at Christain burial ground,Chandmari",2024-08-29,2024-12-24,117,1000000.0,Physical Inspection,0
1149,"WS/MP013/2024-2025/137611-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Normal/Others,1,Sikkim,Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA),Indra Hang Subba (2024-2029),Elected MP,Anti erosion work at Kayathang rumtek under Kayathang Rumtek,2024-08-30,2024-10-03,34,1500000.0,Work Completed,4
1150,"WS/MP013/2024-2025/137612-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Repair and Renovation,2,Sikkim,Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA),Indra Hang Subba (2024-2029),Elected MP,restoration of protective work at  Rumtek Arigaon under Kagyud ward,2024-08-30,2024-10-03,34,1500000.0,Work Completed,4
1151,WS/MP18152/2024-2025/137615-Construction of community centers and community halls,Normal/Others,1,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of SC Dharamshala,2024-08-29,2024-12-10,103,500000.0,Physical Inspection,0
1152,WS/MP18152/2024-2025/137616-Street lights,Normal/Others,1,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installing of Fixed LED Street Lights,2024-08-29,2025-02-18,173,150000.0,Physical Inspection,0
1153,WS/MP18152/2024-2025/137617-Fitting of Sitting RCC Benches in Public Places,Normal/Others,1,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Fitting of Sitting RCC Benches in Public Places,2024-08-29,2024-12-10,103,150000.0,Physical Inspection,0
1154,WS/MP18152/2024-2025/137618-Development of public parks,Normal/Others,1,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Development of public parks,2024-08-29,2025-01-10,134,400000.0,Vendor Identification,3
1155,WS/MP18152/2024-2025/137620-Installation of multi-gym equipment,Normal/Others,1,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of fixed Indoor gym equipment,2024-08-29,2024-12-03,96,200000.0,Physical Inspection,0
1156,WS/MP18152/2024-2025/137622-Installing community drinking water plants,Normal/Others,1,Punjab,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt High school Gurri Sangar,2024-08-29,2025-01-01,125,85000.0,Physical Inspection,0
1157,WS/MP18152/2024-2025/137630-Purchase of mobile water tankers,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Purchase of Steel mobile water tanker,2024-08-29,2024-09-11,13,200000.0,Physical Inspection,0
1158,WS/MP18152/2024-2025/137631-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of mid-day meal Shed in Govt Primary school Ratti rori Tibbian,2024-08-29,2024-09-11,13,299155.0,Physical Inspection,0
1159,WS/MP18152/2024-2025/137632-Installing community drinking water plants,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt Primary school Dana Romana,2024-08-29,2024-09-11,13,84500.0,Physical Inspection,0
1160,WS/MP18152/2024-2025/137633-Purchase of mobile water tankers,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Purchase of mobile Steel water tanker in GP Mai Godri Sahib,2024-08-29,2024-09-11,13,200000.0,Physical Inspection,0
1161,WS/MP18152/2024-2025/137634-Installing community drinking water plants,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt Primary school Ratti Rori Tibbian,2024-08-29,2024-09-11,13,84500.0,Physical Inspection,0
1162,WS/MP18152/2024-2025/137635-Street lights,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of Fixed Street Lights,2024-08-29,2024-09-11,13,200000.0,Physical Inspection,0
1163,WS/MP18152/2024-2025/137636-Installing community drinking water plants,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt Primary school,2024-08-29,2024-09-11,13,84500.0,Physical Inspection,0
1164,WS/MP18152/2024-2025/137637-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of mid-day meal Shed in Govt Primary school Dana romana,2024-08-29,2024-09-11,13,299155.0,Physical Inspection,0
1165,WS/MP18152/2024-2025/137638-Installing community drinking water plants,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt Primary school Balbir Basti,2024-08-29,2024-09-11,13,84500.0,Physical Inspection,0
1166,WS/MP18152/2024-2025/137639-Installing community drinking water plants,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt Primary school,2024-08-29,2024-09-11,13,84500.0,Physical Inspection,0
1167,WS/MP18152/2024-2025/137640-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of Midday meal Shed in Govt Primary school Dod Main,2024-08-29,2024-09-11,13,299155.0,Physical Inspection,0
1168,WS/MP18152/2024-2025/137641-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of mid-day meal Shed in Govt primary School,2024-08-29,2024-09-11,13,299155.0,Physical Inspection,0
1169,WS/MP18327/2025-2026/137670-Street lights,Normal/Others,1,Maharashtra,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),PRANITI SUSHILKUMAR SHINDE (2024-2029),Elected MP,Installation of Light in front of Khandoba Temple at Waluj Gaon in Mohol Taluka,2024-08-29,2026-03-09,557,499880.0,Physical Inspection,0
1170,"WS/MP18278/2024-2025/137679-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),KAMLESH JANGDE (2024-2029),Elected MP,GRAM SONIYAPATH ME C.C. ROAD NIRMARAN (SHYAM LAL BHAINA GHAR SE NADI KI ORE),2024-08-29,2024-09-17,19,999941.0,Physical Inspection,0
1171,"WS/MP18278/2024-2025/137680-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),KAMLESH JANGDE (2024-2029),Elected MP,GRAM DURPA ME C.C. ROAD NIRMARAN (DAURAM SIDAR GHAR SE CHHEDI LAL GHAR KI ORE),2024-08-29,2024-09-17,19,984661.0,Physical Inspection,0
1172,WS/MP561/2024-2025/137684-Development of playfields and sports grounds,Normal/Others,1,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Ravi Shankar Prasad (2024-2029),Elected MP,Development work of playground next to Thakurwadi in Alwalpur village under Fatua Legislative Assembly.,2024-08-29,2025-02-07,162,1450000.0,Sanction,1
1173,WS/MP561/2024-2025/137685-Construction of community centers and community halls,Normal/Others,1,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Ravi Shankar Prasad (2024-2029),Elected MP,Construction work of the first floor of the pre-built community building near the school in Chipurakhurd in Sampatchak block under Fatua Legislative Assembly.,2024-08-29,2024-11-19,82,1485921.0,Physical Inspection,0
1174,WS/MP561/2024-2025/137686-Construction of community centers and community halls,Normal/Others,1,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Ravi Shankar Prasad (2024-2029),Elected MP,Construction work of community hall near Bhagwati place in Kandap village of Sampatchak block under Fatua Legislative Assembly.,2024-08-29,2024-11-19,82,1326673.0,Physical Inspection,0
1175,"WS/MP18278/2024-2025/137687-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE (2024-2029),Elected MP,GRAM SULAUNI ME C.C. ROAD NIRMARAN (RADHELAL GHAR SE SULIPALI KI ORE),2024-08-29,2024-09-18,20,800000.0,Physical Inspection,0
1176,"WS/MP18278/2024-2025/137688-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE (2024-2029),Elected MP,GRAM BANDORA ME C.C. ROAD NIRMARAN ( MUKHY MARG SE BASTI KI ORE),2024-08-29,2024-09-24,26,999710.0,Physical Inspection,0
1177,"WS/MP18278/2024-2025/137689-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE (2024-2029),Elected MP,GRAM ANDA ME C.C. ROAD NIRMARAN ( ASHOK KI KHET SE AAGE KI ORE),2024-08-29,2024-09-18,20,999633.0,Physical Inspection,0
1178,"WS/MP18278/2024-2025/137691-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE (2024-2029),Elected MP,GRAM JUDGA ME C.C. ROAD NIRMARAN ( SHIV PRASAD KAWAR GHAR SE BASTI KI ORE),2024-08-29,2024-09-20,22,1000000.0,Physical Inspection,0
1179,"WS/MP18278/2024-2025/137692-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE (2024-2029),Elected MP,GRAM RAJABHATHA GRAM PANCHAYAT BELHADIH ME C.C. ROAD NIRMARAN (RAHUL RATRE GHAR SE SURESH GHR KI ORE),2024-08-29,2024-10-09,41,999869.0,Physical Inspection,0
1180,WS/MP18019/2024-2025/137729-Construction of boundary walls of existing public and community buildings,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,Construction of boundary wall with fencing at Langbungdingpi Graveyard,2024-08-29,2024-10-25,57,1000000.0,Physical Inspection,0
1181,WS/MP18019/2024-2025/137730-Construction of boundary walls of existing public and community buildings,Normal/Others,1,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO (2024-2029),Elected MP,"Construction of Sanitary Latrine and boundary wall with GCI sheet near DC Bungalow, Diphu",2024-08-29,2024-12-21,114,1983350.0,Physical Inspection,0
1182,WS/MP18032/2024-2025/137732-Construction of community centers and community halls,Normal/Others,1,Bihar,KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),SUDHAKAR SINGH (2024-2029),Elected MP,Construction of community Hall in Mahadalit Tola,2024-09-12,2025-01-14,124,789476.0,Physical Inspection,0
1183,WS/MP858/2025-2026/137760-Street lights,Normal/Others,1,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),Asit Kumar Mal  (2024-2029),Elected MP,"Instalation  1(one) no of mini hight mast street light under AUSHGRAM -II BLOCK.Excuting Agency will be E.O.  Managing Director, West Bengal Agro Industries Corporation Ltd.23 -B, N.S. ROAD 3RD FLORE, KOLKATA - 1.",2024-08-30,2025-05-14,257,279860.0,Physical Inspection,0
1184,WS/MP858/2025-2026/137761-Street lights,Normal/Others,1,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),Asit Kumar Mal  (2024-2029),Elected MP,Instalation  1(one) no of mini hight mast street light under AUSHGRAM -II BLOCK.Excuting Agency will be M.D. WEST BENGAL AGRO  INDUSTRIES CORPORATION LTD 23-B NS ROAD KOLKATA-1.,2024-08-30,2025-05-14,257,279504.0,Physical Inspection,0
1185,WS/MP858/2025-2026/137762-Street lights,Normal/Others,1,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),Asit Kumar Mal  (2024-2029),Elected MP,"Instalation  1(one) no of mini hight mast street light under AUSHGRAM -II BLOCK.Excuting Agency will be M.D. WEST BENGAL AGRO INDUSTRIES CORPORATION LTD 23-B ,N S ROAD KOLKATA -1",2024-08-30,2025-05-14,257,279860.0,Physical Inspection,0
1186,WS/MP858/2025-2026/137763-Street lights,Normal/Others,1,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),Asit Kumar Mal  (2024-2029),Elected MP,"Instalation 1 (one) no of mini hight mast street light under AUSHGRAM -II BLOCK.Excuting Agency will be M.D. WEST BENGAL AGRO INDUSTRIES CORPORATION LTD, 23-B N. S. ROAD KOLKATA -1",2024-08-30,2025-05-14,257,279462.0,Physical Inspection,0
